"shortmove","longmove","Profit","TotalTrades","Name"
23,4,-0.0644619999999998,69,"Tether"
33,17,-0.0647679999999997,34,"Tether"
19,5,-0.0649579999999996,57,"Tether"
35,32,-0.0649619999999997,75,"Tether"
41,36,-0.0649839999999997,63,"Tether"
34,28,-0.0651779999999997,64,"Tether"
38,36,-0.0657160000000001,89,"Tether"
29,26,-0.0662880000000003,74,"Tether"
43,14,-0.0665579999999999,26,"Tether"
20,4,-0.0666599999999999,65,"Tether"
25,23,-0.0668880000000001,89,"Tether"
44,37,-0.0674480000000002,49,"Tether"
23,8,-0.0674899999999996,57,"Tether"
45,35,-0.0678559999999999,45,"Tether"
27,15,-0.067936,42,"Tether"
29,15,-0.068524,40,"Tether"
28,20,-0.0687019999999998,52,"Tether"
49,45,-0.0687600000000002,59,"Tether"
28,15,-0.0689039999999999,42,"Tether"
20,14,-0.0694039999999996,57,"Tether"
29,16,-0.069674,42,"Tether"
44,12,-0.0697599999999998,27,"Tether"
45,12,-0.07033,27,"Tether"
37,28,-0.0704119999999999,44,"Tether"
22,5,-0.0705639999999994,61,"Tether"
24,8,-0.0708499999999994,57,"Tether"
30,16,-0.070994,38,"Tether"
25,14,-0.0710379999999999,42,"Tether"
43,15,-0.0710739999999999,26,"Tether"
37,15,-0.0712919999999997,32,"Tether"
21,5,-0.0713599999999994,59,"Tether"
38,15,-0.0715999999999999,32,"Tether"
41,21,-0.0718019999999999,30,"Tether"
40,27,-0.0720019999999999,38,"Tether"
22,4,-0.0722560000000001,67,"Tether"
42,21,-0.0722760000000002,30,"Tether"
21,4,-0.0723,67,"Tether"
50,45,-0.0724239999999996,62,"Tether"
42,41,-0.0731880000000003,119,"Tether"
49,47,-0.0733839999999999,81,"Tether"
31,16,-0.0741259999999999,38,"Tether"
37,26,-0.0744419999999999,40,"Tether"
25,16,-0.0744780000000003,44,"Tether"
26,4,-0.0747259999999998,59,"Tether"
28,4,-0.0749759999999999,59,"Tether"
24,4,-0.075142,61,"Tether"
46,35,-0.0755359999999998,41,"Tether"
46,36,-0.0764860000000001,43,"Tether"
19,8,-0.0765699999999998,57,"Tether"
36,27,-0.0766100000000001,42,"Tether"
35,28,-0.0766300000000002,48,"Tether"
16,8,-0.076838,63,"Tether"
27,4,-0.076956,57,"Tether"
24,23,-0.07707,143,"Tether"
25,4,-0.0771740000000001,61,"Tether"
23,22,-0.0773819999999992,139,"Tether"
31,15,-0.0776219999999999,38,"Tether"
17,6,-0.0780519999999998,63,"Tether"
49,35,-0.0786619999999998,31,"Tether"
30,15,-0.078762,40,"Tether"
30,19,-0.0788739999999999,42,"Tether"
30,17,-0.0789880000000001,38,"Tether"
42,39,-0.0791200000000001,73,"Tether"
26,16,-0.0791979999999999,46,"Tether"
35,31,-0.0793459999999999,66,"Tether"
41,35,-0.079634,61,"Tether"
18,10,-0.079688,61,"Tether"
43,42,-0.0797480000000006,113,"Tether"
34,17,-0.0801260000000001,34,"Tether"
38,13,-0.080376,32,"Tether"
15,8,-0.0805999999999996,63,"Tether"
31,4,-0.0806640000000001,57,"Tether"
40,13,-0.0814139999999999,30,"Tether"
11,5,-0.0816359999999996,87,"Tether"
29,27,-0.0817560000000002,90,"Tether"
34,13,-0.0818160000000001,32,"Tether"
37,13,-0.0822539999999998,32,"Tether"
39,29,-0.082452,46,"Tether"
45,22,-0.0826160000000002,30,"Tether"
36,13,-0.0828139999999999,32,"Tether"
47,21,-0.0828140000000002,26,"Tether"
48,21,-0.0828140000000002,26,"Tether"
50,22,-0.0829140000000002,26,"Tether"
49,21,-0.0829380000000002,26,"Tether"
35,29,-0.0830519999999999,64,"Tether"
28,18,-0.0830899999999997,46,"Tether"
36,29,-0.0840339999999999,48,"Tether"
34,26,-0.0841160000000001,44,"Tether"
31,18,-0.0843719999999997,40,"Tether"
31,13,-0.0843780000000001,36,"Tether"
29,4,-0.0844880000000001,57,"Tether"
29,9,-0.0846120000000001,41,"Tether"
24,16,-0.0857140000000001,50,"Tether"
49,24,-0.0858780000000001,28,"Tether"
30,4,-0.086562,57,"Tether"
29,13,-0.086606,40,"Tether"
21,18,-0.0866099999999996,80,"Tether"
50,14,-0.0869919999999997,28,"Tether"
25,10,-0.0870240000000002,45,"Tether"
41,12,-0.0876619999999997,29,"Tether"
17,10,-0.0880460000000001,63,"Tether"
24,11,-0.0882759999999998,45,"Tether"
26,24,-0.08832,87,"Tether"
16,4,-0.088436,65,"Tether"
42,33,-0.0885180000000001,41,"Tether"
19,14,-0.0886759999999998,65,"Tether"
38,30,-0.0889400000000002,46,"Tether"
50,11,-0.088956,25,"Tether"
46,11,-0.089188,27,"Tether"
47,11,-0.089188,27,"Tether"
48,11,-0.089188,27,"Tether"
48,24,-0.0893760000000001,32,"Tether"
36,15,-0.0894159999999997,32,"Tether"
23,15,-0.0895919999999999,56,"Tether"
26,23,-0.0896359999999998,79,"Tether"
25,20,-0.0896780000000001,64,"Tether"
49,11,-0.0897540000000001,27,"Tether"
31,27,-0.0902499999999997,64,"Tether"
46,12,-0.09033,27,"Tether"
40,15,-0.0908899999999999,30,"Tether"
40,29,-0.0911739999999999,42,"Tether"
29,19,-0.0913460000000004,46,"Tether"
42,34,-0.0914220000000001,45,"Tether"
46,21,-0.0921960000000002,30,"Tether"
33,18,-0.0923099999999997,34,"Tether"
26,25,-0.0927699999999991,143,"Tether"
32,15,-0.0929359999999999,36,"Tether"
37,4,-0.0932120000000001,57,"Tether"
41,27,-0.0933599999999999,34,"Tether"
29,5,-0.0934739999999998,53,"Tether"
43,37,-0.0936680000000003,57,"Tether"
27,14,-0.0941379999999998,44,"Tether"
48,44,-0.0945339999999999,59,"Tether"
16,7,-0.094536,63,"Tether"
34,33,-0.094622,133,"Tether"
32,17,-0.0947119999999999,36,"Tether"
38,27,-0.0947559999999998,44,"Tether"
43,30,-0.0951160000000002,38,"Tether"
15,6,-0.0951899999999997,65,"Tether"
44,33,-0.0952840000000001,41,"Tether"
50,12,-0.0953119999999998,29,"Tether"
40,39,-0.0953400000000004,123,"Tether"
27,25,-0.0953699999999997,91,"Tether"
26,10,-0.0967099999999999,45,"Tether"
23,21,-0.0968499999999997,92,"Tether"
34,14,-0.0968720000000001,32,"Tether"
19,13,-0.0970619999999998,53,"Tether"
39,32,-0.0974440000000001,53,"Tether"
32,21,-0.0975439999999999,42,"Tether"
41,13,-0.0978999999999999,30,"Tether"
45,24,-0.097988,36,"Tether"
50,35,-0.0981759999999998,31,"Tether"
27,26,-0.0982960000000008,139,"Tether"
21,8,-0.0983959999999997,55,"Tether"
20,19,-0.0986659999999997,140,"Tether"
31,19,-0.0988739999999999,42,"Tether"
33,14,-0.098976,34,"Tether"
25,11,-0.099056,45,"Tether"
47,24,-0.099218,32,"Tether"
38,20,-0.0992300000000002,32,"Tether"
26,21,-0.0992319999999998,64,"Tether"
42,30,-0.0992640000000002,38,"Tether"
9,5,-0.0994499999999998,99,"Tether"
49,23,-0.0996619999999999,26,"Tether"
50,23,-0.0996619999999999,26,"Tether"
32,13,-0.100356,36,"Tether"
49,25,-0.100466,28,"Tether"
25,19,-0.100552,56,"Tether"
28,13,-0.100732,44,"Tether"
48,43,-0.10076,59,"Tether"
50,46,-0.10076,62,"Tether"
50,41,-0.10095,37,"Tether"
45,23,-0.101474,32,"Tether"
43,21,-0.101886,30,"Tether"
35,15,-0.102182,32,"Tether"
35,13,-0.102686,30,"Tether"
45,21,-0.102686,28,"Tether"
50,21,-0.102914,26,"Tether"
49,22,-0.102914,26,"Tether"
32,4,-0.102938,55,"Tether"
48,42,-0.103168,55,"Tether"
44,24,-0.103482,38,"Tether"
33,16,-0.103492,36,"Tether"
30,9,-0.10363,41,"Tether"
31,9,-0.10383,41,"Tether"
49,46,-0.10429,67,"Tether"
25,5,-0.104548,55,"Tether"
22,18,-0.10478,72,"Tether"
47,27,-0.104976,32,"Tether"
48,27,-0.104976,34,"Tether"
50,24,-0.105468,26,"Tether"
24,21,-0.105526,80,"Tether"
50,25,-0.105906,26,"Tether"
32,20,-0.10598,42,"Tether"
36,32,-0.10634,69,"Tether"
44,14,-0.106742,28,"Tether"
43,16,-0.106792,28,"Tether"
40,32,-0.106912,49,"Tether"
39,31,-0.107144,48,"Tether"
40,22,-0.107292,32,"Tether"
24,9,-0.107646,53,"Tether"
42,15,-0.107818,28,"Tether"
45,27,-0.10786,36,"Tether"
4,2,-0.107866,156,"Tether"
39,38,-0.108134,123,"Tether"
28,23,-0.108286,65,"Tether"
39,18,-0.108456,30,"Tether"
25,9,-0.10848,49,"Tether"
24,5,-0.108698,59,"Tether"
49,4,-0.10896,47,"Tether"
38,12,-0.10943,29,"Tether"
12,5,-0.109542,81,"Tether"
15,10,-0.109566,75,"Tether"
32,14,-0.109698,34,"Tether"
40,31,-0.109928,46,"Tether"
50,27,-0.110072,28,"Tether"
36,4,-0.110274,55,"Tether"
47,12,-0.11033,27,"Tether"
12,10,-0.110342000000001,109,"Tether"
35,17,-0.1104,32,"Tether"
49,26,-0.110456,28,"Tether"
15,7,-0.11065,65,"Tether"
32,30,-0.11067,92,"Tether"
39,12,-0.11101,29,"Tether"
46,27,-0.111434,34,"Tether"
42,14,-0.11145,28,"Tether"
16,10,-0.111536,61,"Tether"
47,15,-0.111614,28,"Tether"
49,15,-0.111614,30,"Tether"
48,15,-0.111616,28,"Tether"
44,15,-0.111872,26,"Tether"
45,15,-0.111874,26,"Tether"
50,15,-0.112124,30,"Tether"
33,21,-0.112144,42,"Tether"
42,16,-0.112294,28,"Tether"
43,22,-0.11247,32,"Tether"
24,20,-0.112542,68,"Tether"
36,31,-0.113308,60,"Tether"
46,22,-0.113396,30,"Tether"
11,8,-0.114096,93,"Tether"
43,19,-0.114204,28,"Tether"
43,24,-0.114722,38,"Tether"
27,5,-0.115022,55,"Tether"
49,12,-0.11507,29,"Tether"
48,12,-0.115072,29,"Tether"
50,26,-0.115088,28,"Tether"
28,5,-0.115115999999999,53,"Tether"
44,41,-0.115164,73,"Tether"
43,33,-0.115192,43,"Tether"
49,27,-0.115246,32,"Tether"
14,6,-0.115676,69,"Tether"
24,12,-0.11572,43,"Tether"
38,14,-0.115902,30,"Tether"
38,35,-0.116292,73,"Tether"
23,12,-0.116312,45,"Tether"
39,14,-0.11647,30,"Tether"
40,14,-0.116558,28,"Tether"
42,13,-0.116706,28,"Tether"
41,37,-0.11685,67,"Tether"
20,8,-0.117089999999999,55,"Tether"
48,35,-0.117186,35,"Tether"
33,29,-0.117627999999999,66,"Tether"
46,24,-0.11799,34,"Tether"
7,4,-0.11801,112,"Tether"
19,10,-0.118146,57,"Tether"
50,29,-0.11932,30,"Tether"
48,23,-0.119712,28,"Tether"
32,16,-0.119764,36,"Tether"
41,30,-0.120038,44,"Tether"
38,31,-0.120846,52,"Tether"
25,21,-0.12124,66,"Tether"
42,17,-0.121612,30,"Tether"
30,27,-0.121794,72,"Tether"
43,13,-0.121814,28,"Tether"
47,13,-0.12199,28,"Tether"
48,13,-0.121992,30,"Tether"
44,13,-0.122012,28,"Tether"
45,13,-0.122014,28,"Tether"
42,22,-0.12247,30,"Tether"
38,28,-0.122578,44,"Tether"
44,21,-0.122684,28,"Tether"
31,5,-0.122758,51,"Tether"
16,6,-0.123266,61,"Tether"
24,19,-0.123742,58,"Tether"
26,5,-0.123912,55,"Tether"
48,29,-0.124246,37,"Tether"
26,7,-0.124406,51,"Tether"
32,22,-0.124452,44,"Tether"
47,29,-0.124558,37,"Tether"
46,26,-0.124888,30,"Tether"
45,26,-0.125046,32,"Tether"
50,17,-0.125274000000001,30,"Tether"
27,11,-0.125452,43,"Tether"
28,25,-0.125552,75,"Tether"
39,22,-0.12558,32,"Tether"
14,5,-0.126364,73,"Tether"
30,5,-0.126382,53,"Tether"
40,21,-0.12639,32,"Tether"
50,36,-0.126482,29,"Tether"
33,22,-0.126618,44,"Tether"
47,35,-0.126664,37,"Tether"
39,21,-0.12692,32,"Tether"
31,23,-0.12692,50,"Tether"
48,14,-0.126944,30,"Tether"
44,39,-0.126958,61,"Tether"
49,14,-0.126992,32,"Tether"
47,17,-0.12703,26,"Tether"
48,17,-0.12703,26,"Tether"
42,29,-0.127136,34,"Tether"
43,40,-0.127202,69,"Tether"
49,17,-0.127348,26,"Tether"
41,22,-0.127448,32,"Tether"
5,4,-0.127450000000001,172,"Tether"
44,16,-0.127474,26,"Tether"
27,20,-0.127522,54,"Tether"
34,21,-0.127966,40,"Tether"
50,4,-0.128298,47,"Tether"
44,27,-0.128476,34,"Tether"
31,11,-0.128614,35,"Tether"
16,12,-0.128814,69,"Tether"
48,25,-0.129096,28,"Tether"
30,22,-0.129364,56,"Tether"
22,19,-0.129722,80,"Tether"
44,4,-0.129884,47,"Tether"
30,23,-0.12989,50,"Tether"
39,20,-0.13094,32,"Tether"
34,15,-0.131014,34,"Tether"
48,16,-0.131382,28,"Tether"
27,23,-0.131476,65,"Tether"
46,15,-0.131614,28,"Tether"
24,7,-0.131714,49,"Tether"
17,11,-0.131876,53,"Tether"
47,23,-0.132218,30,"Tether"
50,34,-0.132328,33,"Tether"
50,42,-0.132832,42,"Tether"
36,28,-0.133128,42,"Tether"
37,21,-0.133244,32,"Tether"
43,29,-0.133278,32,"Tether"
41,14,-0.13338,28,"Tether"
44,22,-0.133392,32,"Tether"
10,8,-0.133496,107,"Tether"
44,43,-0.133774,113,"Tether"
27,9,-0.134156,47,"Tether"
49,28,-0.134322,32,"Tether"
40,18,-0.134332,30,"Tether"
41,18,-0.134492,28,"Tether"
46,44,-0.134544,81,"Tether"
47,4,-0.134626,47,"Tether"
48,4,-0.134626,47,"Tether"
45,18,-0.134628,26,"Tether"
47,36,-0.1347,41,"Tether"
43,28,-0.134752,32,"Tether"
32,18,-0.134882,38,"Tether"
37,14,-0.135124,30,"Tether"
44,19,-0.13517,28,"Tether"
48,19,-0.135346,26,"Tether"
49,19,-0.13547,26,"Tether"
50,19,-0.13547,26,"Tether"
44,29,-0.135494,32,"Tether"
23,13,-0.13558,46,"Tether"
34,30,-0.135604,66,"Tether"
34,31,-0.135652,74,"Tether"
30,11,-0.135758,39,"Tether"
7,5,-0.135804,123,"Tether"
45,29,-0.136,34,"Tether"
44,40,-0.136286,61,"Tether"
37,32,-0.13646,65,"Tether"
44,28,-0.136976,32,"Tether"
33,30,-0.137144,74,"Tether"
48,26,-0.13726,34,"Tether"
36,14,-0.13727,30,"Tether"
22,12,-0.1374,49,"Tether"
41,16,-0.137402,30,"Tether"
39,16,-0.137424,32,"Tether"
45,34,-0.137728,41,"Tether"
20,5,-0.138029999999999,55,"Tether"
6,4,-0.138214000000001,128,"Tether"
18,7,-0.138316,55,"Tether"
22,16,-0.13836,54,"Tether"
26,14,-0.138722,46,"Tether"
49,20,-0.138964,26,"Tether"
48,20,-0.138966,26,"Tether"
50,20,-0.13909,26,"Tether"
25,12,-0.139572,43,"Tether"
40,24,-0.139686,34,"Tether"
39,24,-0.139736,34,"Tether"
40,26,-0.1398,38,"Tether"
36,20,-0.140124,32,"Tether"
40,20,-0.140264,30,"Tether"
50,30,-0.140374,30,"Tether"
21,16,-0.14051,60,"Tether"
35,16,-0.140566,34,"Tether"
50,28,-0.140696,32,"Tether"
49,30,-0.140812,33,"Tether"
49,29,-0.140838,33,"Tether"
20,13,-0.141276,51,"Tether"
25,7,-0.141372,51,"Tether"
50,47,-0.141626,68,"Tether"
28,11,-0.141686,37,"Tether"
46,13,-0.142014,28,"Tether"
34,16,-0.14205,34,"Tether"
37,10,-0.142128,31,"Tether"
36,24,-0.142136,42,"Tether"
34,24,-0.142372,42,"Tether"
28,27,-0.142416,137,"Tether"
37,27,-0.14253,46,"Tether"
